TeamAbr,TEAM,MILES TRAVELED,STRENGTH OF SCHEDULE,REST DISADVANTAGE (TEAM A HAS LESS REST DAYS THAN OPP),REST ADVANTAGE (TIMES TEAM HAS MORE REST DAYS THAN OPP.),BACK TO BACK GAMES
ATL,Atlanta Hawks,"40,530",0.502,12,12,16
BOS,Boston Celtics,"41,871",0.494,9,8,13
BKN,Brooklyn Nets,"42,140",0.517,12,15,15
CHA,Charlotte Hornets,"36,078",0.504,10,8,15
CHI,Chicago Bulls,"41,652",0.508,9,13,13
CLE,Cleveland Cavaliers,"39,503",0.496,9,7,16
DAL,Dallas Mavericks,"42,656",0.522,8,7,13
DEN,Denver Nuggets,"44,016",0.498,12,10,16
DET,Detroit Pistons,"35,015",0.509,10,13,15
GSW,Golden State Warriors,"46,181",0.519,10,14,14
HOU,Houston Rockets,"42,086",0.53,11,9,16
IND,Indiana Pacers,"40,552",0.499,12,10,14
LAC,Los Angeles Clippers,"45,664",0.532,13,13,16
LAL,Los Angeles Lakers,"43,332",0.519,10,11,13
MEM,Memphis Grizzlies,"42,757",0.525,9,11,15
MIA,Miami Heat,"44,236",0.507,9,8,15
MIL,Milwaukee Bucks,"41,182",0.5,13,11,16
MIN,Minnesota Timberwolves,"49,937",0.519,9,11,14
NOP,New Orleans Pelicans,"42,166",0.526,6,4,16
NYK,New York Knicks,"39,528",0.497,12,10,15
OKC,Oklahoma City Thunder,"42,016",0.509,10,9,16
ORL,Orlando Magic,"42,882",0.492,8,11,13
PHL,Philadelphia 76ers,"37,890",0.505,11,12,15
PHx,Phoenix Suns,"43,600",0.525,10,6,16
POR,Portland Trail Blazers,"48,924",0.536,9,11,13
SAC,Sacramento Kings,"47,504",0.521,11,11,16
SAS,San Antonio Spurs,"43,497",0.526,9,11,15
TOR,Toronto Raptors,"34,981",0.514,12,10,15
UTA,Utah Jazz,"45,115",0.508,12,9,15
WAS,Washington Wizards,"35,441",0.511,11,13,16